"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"2222","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);JavaScript;TypeScript","Dynamodb;Elasticsearch","Amazon Web Services (AWS)","Node.js","Healthcare","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI","Employed, full-time"
"2223","Durban Campus","IT","I am a developer by profession","Other (please specify):","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;PHP;Ruby;SQL","Firebird;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Heroku;Managed Hosting;Microsoft Azure;Netlify","ASP.NET CORE;Blazor;Express;jQuery;Node.js;Ruby on Rails;Vue.js","Retail and Consumer Services","Bing AI;ChatGPT","Adrenaline;GitHub Copilot;Synk Code","Employed, full-time;Independent contractor, freelancer, or self-employed"
"2224","Nelspruit Campus","IT","I am a developer by profession","Data scientist or machine learning specialist","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Julia;Lisp;Python;R","Cloud Firestore;PostgreSQL","Amazon Web Services (AWS);Google Cloud","Django","Oil & Gas","WolframAlpha","GitHub Copilot;Rubber Duck.AI","Independent contractor, freelancer, or self-employed"
"2225","Nelspruit Campus","Data Science","I am a developer by profession","Research & Development role","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript","BigQuery;Dynamodb;Elasticsearch;MariaDB;Microsoft Access;MongoDB;MySQL;Neo4J;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Heroku;Vercel","Next.js;Node.js;React;Svelte","Advertising Services","ChatGPT;WolframAlpha","GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed, full-time"
"2226","Port Elizabeth Campus","IT","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;Python;TypeScript","Dynamodb","Amazon Web Services (AWS)","Angular;Flask;React","Advertising Services","Bing AI","Tabnine;Whispr AI","Employed, full-time"
"2227","Durban Campus","Computer Science","I used to be a developer by profession, but no longer am","Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Go","InfluxDB;PostgreSQL","Amazon Web Services (AWS);Colocation;Microsoft Azure","Svelte","Wholesale","ChatGPT;WolframAlpha","GitHub Copilot;Mintlify","Employed, full-time"
"2228","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;Python;SQL;TypeScript","Dynamodb;PostgreSQL","Amazon Web Services (AWS)","Django;Flask;Node.js;React","Healthcare","ChatGPT","GitHub Copilot","Employed, full-time"
"2229","Durban Campus","IT","I am a developer by profession","Developer, front-end","Some college/university study without earning a degree","HTML/CSS;JavaScript;PHP;SQL","MySQL","Managed Hosting","Node.js;WordPress","Legal Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify","Employed, full-time;Independent contractor, freelancer, or self-employed"
"2230","Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;Go;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;SQL","MongoDB;MySQL;SQLite","Firebase;Google Cloud;Heroku;Vercel","Next.js;Node.js;Qwik","Legal Services","Bing AI;ChatGPT","GitHub Copilot;Synk Code;Tabnine","Not employed, but looking for work"
"2231","Durban Campus","Data Science","I am a developer by profession","Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Python","TiDB","Amazon Web Services (AWS)","Flask","Advertising Services","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed, full-time"
"2232","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;Rust;SQL;TypeScript","Microsoft SQL Server;PostgreSQL","Amazon Web Services (AWS)","ASP.NET CORE;React;Vue.js","Advertising Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI","Employed, full-time"
"2233","Nelspruit Campus","IT","I am a developer by profession","Developer, mobile","Associate degree (A.A., A.S., etc.)","Dart;HTML/CSS;JavaScript;TypeScript","MongoDB;Supabase","Netlify","Next.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;Codeium;Tabnine","Employed, full-time"
"2234","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript","Microsoft SQL Server","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;Node.js","Legal Services","Bing AI","GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Student, full-time;Employed, part-time"
"2235","Durban Campus","IT","I am a developer by profession","Developer, game or graphics","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Rust","PostgreSQL","Linode, now Akamai","Svelte","Higher Education","Bing AI;ChatGPT;Google Bard AI","Codeium;Replit Ghostwriter","Independent contractor, freelancer, or self-employed;Retired"
"2236","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;TypeScript","Dynamodb;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure;Netlify;Vercel;VMware","Angular;AngularJS;ASP.NET;ASP.NET CORE;Node.js;React","Healthcare","ChatGPT","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"2237","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Go;JavaScript;MATLAB;TypeScript","Cosmos DB;Dynamodb;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Microsoft Azure","Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery","Higher Education","Bing AI;ChatGPT","GitHub Copilot;Tabnine;Whispr AI","Employed, full-time"
"2238","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;SQL;TypeScript","Cloud Firestore;PostgreSQL","Google Cloud","Angular;Node.js","Oil & Gas","ChatGPT","Mintlify;Synk Code","Employed, full-time"
"2239","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL","MariaDB;MySQL;Redis","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Managed Hosting","Express;jQuery;Node.js;React;WordPress","Retail and Consumer Services","ChatGPT;Google Bard AI","AWS CodeWhisperer;Replit Ghostwriter","Employed, full-time"
"2240","Pretoria Campus","Data Science","I used to be a developer by profession, but no longer am","Security professional","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);Lisp;Perl;PowerShell;Python","MariaDB;MongoDB;PostgreSQL;Redis;SQLite","VMware","Node.js","Other","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Employed, full-time"
"2241","Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript","Cosmos DB;Microsoft SQL Server","Cloudflare;Microsoft Azure","Angular;ASP.NET CORE;Blazor;Node.js","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT","Adrenaline;Synk Code;Whispr AI","Employed, full-time"
"2242","Port Elizabeth Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, back-end","Some college/university study without earning a degree","Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Java;Kotlin;Lua;Python;SQL;TypeScript","Couch DB;MongoDB;MySQL;PostgreSQL;SQLite","Vercel","ASP.NET CORE;Flask;Nuxt.js;Vue.js","Higher Education","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine","Independent contractor, freelancer, or self-employed;Not employed, but looking for work"
"2243","Nelspruit Campus","IT","I am a developer by profession","Developer, front-end","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;Python;SQL;TypeScript;Visual Basic (.Net)","Microsoft SQL Server;MongoDB","Microsoft Azure;Netlify","ASP.NET;jQuery;Node.js;React;Svelte","Insurance","ChatGPT","Adrenaline;GitHub Copilot;Synk Code","Employed, full-time"
"2244","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);C;HTML/CSS;JavaScript;Python;Ruby;Rust;Solidity;SQL;TypeScript","Firebase Realtime Database;MariaDB;MongoDB;MySQL;Neo4J;PostgreSQL;Redis;SQLite;Supabase","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;Microsoft Azure;Netlify;Vercel;VMware;Vultr","Django;Express;Fastify;Next.js;Node.js;React;Ruby on Rails;Vue.js","Insurance","ChatGPT;Phind","Adrenaline;GitHub Copilot;Mintlify;Replit Ghostwriter;Synk Code","Employed, full-time"
"2245","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript","Cosmos DB","Microsoft Azure;Render;Vercel","Angular;ASP.NET CORE;Express;Next.js;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","Adrenaline;Mintlify","Employed, full-time"
"2246","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Go;HTML/CSS;JavaScript;SQL","MySQL;Oracle","Amazon Web Services (AWS);Google Cloud","Express;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI","Employed, full-time"
"2247","Port Elizabeth Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;Java;JavaScript;Python","Elasticsearch;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;Snowflake;SQLite","Amazon Web Services (AWS);Microsoft Azure","Flask;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"2248","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net)","BigQuery;Cloud Firestore;Firebase Realtime Database;Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL;SQLite","Google Cloud;Microsoft Azure","AngularJS;ASP.NET CORE;jQuery;Node.js;React","Insurance","ChatGPT","Codeium","Employed, full-time;Independent contractor, freelancer, or self-employed"
"2249","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","MongoDB","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","Angular;Express;NestJS;Next.js;Node.js;React","Insurance","ChatGPT","Synk Code;Tabnine","Employed, full-time"
"2250","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;SQL;TypeScript","MongoDB;PostgreSQL","Amazon Web Services (AWS)","Express;NestJS;Next.js;Node.js;React","Higher Education","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine","Employed, full-time"
"2251","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;JavaScript;SQL;TypeScript","MariaDB;MySQL;Redis","Amazon Web Services (AWS);Vercel","Next.js;Node.js;React","Insurance","ChatGPT","GitHub Copilot;Replit Ghostwriter;Whispr AI","Not employed, but looking for work"
"2252","Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL","Elasticsearch;MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Google Cloud;Heroku;Microsoft Azure;OpenShift","Angular;Django;Express;Flask;NestJS;Node.js;React;Spring Boot;Vue.js","Legal Services","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot","Employed, full-time"
"2253","Pretoria Campus","Computer Science","I am a developer by profession","Academic researcher","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;JavaScript;MATLAB;Python;TypeScript","MongoDB;SQLite","Microsoft Azure","ASP.NET CORE;Flask","Manufacturing, Transportation, or Supply Chain","WolframAlpha","AWS CodeWhisperer;Synk Code;Whispr AI","Employed, full-time"
"2254","Durban Campus","IT","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP","MariaDB;MySQL;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Linode, now Akamai;Netlify","jQuery;Node.js;Vue.js;WordPress","Other","ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine","Employed, full-time;Independent contractor, freelancer, or self-employed"
"2255","Nelspruit Campus","Data Science","I am learning to code","Student","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;Python","Firebase Realtime Database;MongoDB;Supabase","Firebase;Google Cloud;Heroku;Netlify","Express;Node.js;React","Wholesale","ChatGPT;WolframAlpha","GitHub Copilot;Tabnine","Not employed, but looking for work;Student, full-time"
"2256","Pretoria Campus","IT","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C;C#;HTML/CSS;JavaScript;Raku;Rust;TypeScript","PostgreSQL;Redis","Amazon Web Services (AWS);Google Cloud;Linode, now Akamai","Express;FastAPI;Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Replit Ghostwriter","Employed, full-time"
"2257","Port Elizabeth Campus","Computer Science","I am learning to code","Other (please specify):","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;Python;Solidity;TypeScript","Cloud Firestore;MongoDB","Firebase;Vercel","Express;Next.js;Node.js;React","Healthcare","ChatGPT","Synk Code;Tabnine","Independent contractor, freelancer, or self-employed"
"2258","Pretoria Campus","Data Science","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;JavaScript;TypeScript","Elasticsearch;Redis","Amazon Web Services (AWS);Microsoft Azure","Angular;ASP.NET;ASP.NET CORE","Other","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify","Employed, full-time"
"2259","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C;C#;Dart;Go;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript","Cloud Firestore;H2;Microsoft SQL Server;MySQL;PostgreSQL","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Heroku;Microsoft Azure;Vercel","Angular;ASP.NET;ASP.NET CORE;Next.js;React;Spring Boot","Retail and Consumer Services","Bing AI;ChatGPT;You.com","GitHub Copilot;Whispr AI","Student, full-time;Employed, part-time"
"2260","Durban Campus","IT","I am a developer by profession","Developer, desktop or enterprise applications","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Assembly;Bash/Shell (all shells);C;Dart;HTML/CSS;JavaScript;Python;SQL;TypeScript","PostgreSQL","Digital Ocean;Vercel","Express;Next.js;Node.js;React","Retail and Consumer Services","ChatGPT;WolframAlpha","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Employed, part-time;Student, part-time"
"2261","Pretoria Campus","Data Science","I am a developer by profession","Educator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Lisp;Lua;Python;Ruby;SQL","MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS);Google Cloud","Django","Oil & Gas","WolframAlpha","GitHub Copilot;Mintlify","Employed, full-time"
"2262","Nelspruit Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;Python;Rust","PostgreSQL;SQLite","Cloudflare","Express;Next.js;Node.js;React","Other","ChatGPT;Google Bard AI","GitHub Copilot;Mintlify;Tabnine","Employed, full-time"
"2263","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript","Microsoft SQL Server;MySQL;PostgreSQL","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;jQuery;React;WordPress","Advertising Services","ChatGPT","Adrenaline;Mintlify;Rubber Duck.AI","Employed, full-time"
"2264","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;HTML/CSS;JavaScript;PHP;SQL;Visual Basic (.Net)","BigQuery;Dynamodb;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Cloudflare;Managed Hosting","ASP.NET;ASP.NET CORE;CodeIgniter;Drupal;jQuery;Laravel;Node.js;React;WordPress","Oil & Gas","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"2265","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C;C++;Crystal;Elixir;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript","Elasticsearch;PostgreSQL;Redis","Amazon Web Services (AWS)","Angular;Express;Flask;Next.js;Node.js;Phoenix;React;Svelte","Wholesale","ChatGPT","GitHub Copilot;Replit Ghostwriter;Whispr AI","Independent contractor, freelancer, or self-employed"
"2266","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;Groovy;Java;JavaScript;Python;Rust;SQL;TypeScript","InfluxDB;MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS);Google Cloud","Express;Flask;Node.js;React","Oil & Gas","ChatGPT","Tabnine","Employed, full-time"
"2267","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;SQL;TypeScript","MySQL","Heroku;Microsoft Azure","Node.js;Symfony;Vue.js","Oil & Gas","ChatGPT","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"2268","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Dart;Go;HTML/CSS;Java;Kotlin;PHP;SQL;TypeScript","Cloud Firestore;Dynamodb;MySQL;PostgreSQL;Redis","Firebase;Google Cloud","Angular;Node.js;Spring Boot","Healthcare","ChatGPT","Codeium;Synk Code;Whispr AI","Employed, full-time"
"2269","Durban Campus","Computer Science","I code primarily as a hobby","Student","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C;HTML/CSS;Java;JavaScript;Python;TypeScript","SQLite","Firebase;Google Cloud;Netlify;Vercel","AngularJS;Express;Next.js;Node.js;React","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT;Quora Poe","Codeium;Tabnine","Not employed, but looking for work;Student, part-time"
"2270","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;PHP","MySQL","Netlify","jQuery;React","Oil & Gas","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Independent contractor, freelancer, or self-employed"
"2271","Port Elizabeth Campus","IT","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;SQL;TypeScript","Microsoft SQL Server","Microsoft Azure","Angular","Insurance","Bing AI","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed, full-time"
"2272","Durban Campus","IT","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PowerShell;TypeScript","MongoDB","Amazon Web Services (AWS);Hetzner;VMware","React","Oil & Gas","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code","Independent contractor, freelancer, or self-employed"
"2273","Durban Campus","IT","I am a developer by profession","Data or business analyst","Associate degree (A.A., A.S., etc.)","Assembly;Bash/Shell (all shells);C;C#;C++;Fortran;HTML/CSS;Java;JavaScript;MATLAB;Perl;Python;R;SQL;VBA;Visual Basic (.Net)","BigQuery;DuckDB;Elasticsearch;MariaDB;Microsoft Access;Microsoft SQL Server;MySQL;Oracle;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Google Cloud;Hetzner;Linode, now Akamai;Microsoft Azure;OVH;VMware","Angular;ASP.NET;ASP.NET CORE;Flask;Node.js;WordPress","Advertising Services","ChatGPT","Favorable","Independent contractor, freelancer, or self-employed"
"2274","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Python;Ruby","Elasticsearch;MySQL;PostgreSQL","Amazon Web Services (AWS);Google Cloud","Gatsby;Node.js;React;Ruby on Rails","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine","Employed, full-time"
"2275","Pretoria Campus","IT","I am a developer by profession","Developer, desktop or enterprise applications","Some college/university study without earning a degree","C#","Firebird;MongoDB;Redis;SQLite","Microsoft Azure","ASP.NET;ASP.NET CORE","Legal Services","ChatGPT","GitHub Copilot;Whispr AI","Employed, full-time"
"2276","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C#;Go;Haskell;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;Rust;TypeScript;Zig","PostgreSQL","Amazon Web Services (AWS);Fly.io","Deno;Elm;jQuery;Node.js;React;Ruby on Rails;Svelte","Advertising Services","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot","Employed, full-time"
"2277","Nelspruit Campus","IT","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go","PostgreSQL","Microsoft Azure","Vue.js;WordPress","Healthcare","ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed, full-time;Employed, part-time"
"2278","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;SQL;TypeScript","Microsoft SQL Server","Microsoft Azure","ASP.NET;ASP.NET CORE;Blazor;Express;jQuery;Node.js;Vue.js","Retail and Consumer Services","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"2279","Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C;Go;Java;Python","Elasticsearch;MongoDB;MySQL;PostgreSQL;Supabase","Google Cloud","Angular;Express;Next.js;Node.js;Spring Boot","Insurance","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine","Employed, part-time;Student, part-time"
"2280","Nelspruit Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Go;JavaScript;Python;Ruby;SQL","Cassandra;Elasticsearch;InfluxDB;PostgreSQL;Redis;Snowflake","Amazon Web Services (AWS);Cloudflare;Google Cloud;Heroku","FastAPI;Next.js;Ruby on Rails","Wholesale","ChatGPT;WolframAlpha","Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine","Employed, full-time"
"2281","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript","Microsoft SQL Server;MongoDB;MySQL","Cloudflare;Linode, now Akamai","ASP.NET CORE;Laravel;Next.js;React;WordPress","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI","Employed, full-time"
"2282","Port Elizabeth Campus","IT","I am a developer by profession","Research & Development role","Some college/university study without earning a degree","Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;Python;SQL;TypeScript","Cosmos DB;Dynamodb;Elasticsearch;InfluxDB;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure","Angular;Express;FastAPI;Flask;Node.js;React","Retail and Consumer Services","Bing AI;ChatGPT;WolframAlpha","GitHub Copilot;Synk Code","Independent contractor, freelancer, or self-employed"
"2283","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Groovy;HTML/CSS;Java;JavaScript;SQL;TypeScript","PostgreSQL","Amazon Web Services (AWS);Netlify","Next.js;Node.js;React;Spring Boot","Legal Services","ChatGPT","GitHub Copilot;Replit Ghostwriter","Employed, full-time"
"2284","Port Elizabeth Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Dart;Go;Kotlin;SQL;TypeScript","Microsoft SQL Server;MySQL;PostgreSQL","Amazon Web Services (AWS)","NestJS;Node.js","Higher Education","ChatGPT","Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"2285","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;JavaScript;PowerShell;SQL","Microsoft SQL Server","Microsoft Azure","Angular;ASP.NET CORE","Advertising Services","ChatGPT","GitHub Copilot;Replit Ghostwriter","Employed, full-time"
"2286","Durban Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;Python;SQL","Dynamodb;Elasticsearch;Microsoft SQL Server;Redis;SQLite","Amazon Web Services (AWS)","ASP.NET;ASP.NET CORE;React","Financial Services","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Tabnine","Employed, full-time"
"2287","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);C#;Go;PowerShell","MongoDB","Microsoft Azure","ASP.NET CORE;Blazor","Healthcare","Bing AI;ChatGPT;Google Bard AI","Synk Code","Independent contractor, freelancer, or self-employed"
